Product Name,Price,Ratings,Model Number,Processor,RAM,Operating System,Storage,Warranty,Brand,text
Acer Aspire,"₹42,990",4.1,AL15-52H,Intel Core i5 Processor,(12th Gen)12 GB LPDDR5RAM,Windows 11 Home Operating System,512 GB SSD,1 Year Carry-in Warranty,Acer,"Acer Aspire for ₹₹42,990 - Intel Core i5 Processor (12th Gen)12 GB LPDDR5 RAMWindows 11 Home Operating System512 GB SSD39.62 cm (15.6 inch) Display1 Year Carry-in Warranty"
Acer Aspire 3,"₹21,990",3.9,A324-45,Intel Celeron Dual Core Processor,8 GB LPDDR4XRAM,Windows 11 Operating System,512 GB SSD,1 Year Carry-in Warranty,Acer,"Acer Aspire 3 for ₹₹21,990 - Intel Celeron Dual Core Processor8 GB LPDDR4X RAMWindows 11 Operating System512 GB SSD35.56 cm (14 Inch) Display1 Year Carry-in Warranty"
Acer Aspire 3,"₹17,990",3.8,A311-45,Intel Celeron Dual Core Processor,8 GB DDR4RAM,64 bit Windows 11 Home Operating System,512 GB SSD,1 Year Warranty,Acer,"Acer Aspire 3 for ₹₹17,990 - Intel Celeron Dual Core Processor8 GB DDR4 RAM64 bit Windows 11 Home Operating System512 GB SSD29.46 cm (11.6 inch) Display1 Year Warranty"
Acer Aspire 3 Backlit AMD Ryzen 5 Hexa Core 7430U,"₹33,990",4.1,,AMD Ryzen 5 Hexa Core Processor,16 GB DDR4RAM,Windows 11 Operating System,512 GB SSD,1 Year Carry-in Warranty,Acer,"Acer Aspire 3 Backlit AMD Ryzen 5 Hexa Core 7430U for ₹₹33,990 - AMD Ryzen 5 Hexa Core Processor16 GB DDR4 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Carry-in Warranty"
Lenovo Yoga Slim 7,"₹87,990",4.2,14IMH9,Intel Core Ultra 7 Processor,16 GB LPDDR5XRAM,Windows 11 Operating System,1 TB SSD,1 Year Carry-in Warranty,Lenovo,"Lenovo Yoga Slim 7 for ₹₹87,990 - Intel Core Ultra 7 Processor16 GB LPDDR5X RAMWindows 11 Operating System1 TB SSD35.56 cm (14 Inch) Display1 Year Carry-in Warranty"
Lenovo IdeaPad 1 AMD Athlon Dual Core 7120U,"₹25,990",4.2,15AMN7,AMD Athlon Dual Core Processor,8 GB LPDDR5RAM,Windows 11 Operating System,512 GB SSD,,Lenovo,"Lenovo IdeaPad 1 AMD Athlon Dual Core 7120U for ₹₹25,990 - AMD Athlon Dual Core Processor8 GB LPDDR5 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 inch) Display1 Yr. Onsite + 1 Yr. Accidental Damage Protection"
HP Backlit,"₹44,990",4.3,,Intel Core i5 Processor,(12th Gen)8 GB DDR4RAM,64 bit Windows 11 Operating System,512 GB SSD,1 Year Onsite Warranty,HP,"HP Backlit for ₹₹44,990 - Intel Core i5 Processor (12th Gen)8 GB DDR4 RAM64 bit Windows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty"
CHUWI,"₹16,490",3.7,,"Light weight, Portable Laptop
RAM/Storage: 8GB LPDDR4 Ram, 256GB M.2 SSD StorageHard-Decoding 4k@60Hz
Graphics/GPU: UHD Graphics 600
Display: 14.1 inch, 16:9 IPS Display
Touchpad: Larger Touchpad with easy control
Keyboard: Chiclet keyboard keysIntel Celeron Dual Core Processor",(11th Gen)8 GB DDR4RAM,"/Storage: 8GB LPDDR4 Ram, 256GB M.2 SSD StorageHard-Decoding 4k@60Hz
Graphics/GPU: UHD Graphics 600
Display: 14.1 inch, 16:9 IPS Display
Touchpad: Larger Touchpad with easy control
Keyboard: Chiclet keyboard keysIntel Celeron Dual Core Processor (11th Gen)8 GB DDR4 Operating System",256 GB SSD,"WPS Office, Operating System Software1 Year Onsite Warranty",CHUWI,"CHUWI for ₹₹16,490 - Light weight, Portable Laptop
RAM/Storage: 8GB LPDDR4 Ram, 256GB M.2 SSD StorageHard-Decoding 4k@60Hz
Graphics/GPU: UHD Graphics 600
Display: 14.1 inch, 16:9 IPS Display
Touchpad: Larger Touchpad with easy control
Keyboard: Chiclet keyboard keysIntel Celeron Dual Core Processor (11th Gen)8 GB DDR4 RAM64 bit Windows 11 Operating System256 GB SSD35.81 cm (14.1 inch) DisplayWPS Office, Operating System Software1 Year Onsite Warranty"
Acer Predator Helios Neo 16,"₹1,14,990",4.4,,Intel Core i7 Processor,(14th Gen)16 GB DDR5RAM,Windows 11 Operating System,1 TB SSD,1 Year Carry-in Warranty,Acer,"Acer Predator Helios Neo 16 for ₹₹1,14,990 - Intel Core i7 Processor (14th Gen)16 GB DDR5 RAMWindows 11 Operating System1 TB SSD40.64 cm (16 Inch) Display1 Year Carry-in Warranty"
ASUS Vivobook S 15,"₹79,990",4.5,,Intel Core i9 Processor,(13th Gen)16 GB LPDDR5RAM,Windows 11 Operating System,512 GB SSD,1 Year Onsite Warranty,ASUS,"ASUS Vivobook S 15 for ₹₹79,990 - Intel Core i9 Processor (13th Gen)16 GB LPDDR5 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty"
